OBJECTID,pointid,grid_code,POINT_X,POINT_Y,POINT_Z
304,304,12,223312.156738281250000,632555.088867187500000,790.000000000000000
305,305,12,223324.575927734375000,632555.088867187500000,792.000000000000000
306,306,12,223336.995239257812500,632555.088867187500000,794.000000000000000
307,307,13,223349.414428710937500,632555.088867187500000,795.000000000000000
308,308,13,223361.833618164062500,632555.088867187500000,797.000000000000000
309,309,13,223374.252929687500000,632555.088867187500000,799.000000000000000
310,310,13,223386.672119140625000,632555.088867187500000,801.000000000000000
311,311,13,223399.091430664062500,632555.088867187500000,803.000000000000000
312,312,15,223411.510620117187500,632555.088867187500000,806.000000000000000
313,313,3,222778.130371093750000,632542.611816406250000,737.000000000000000
314,314,5,222790.549560546875000,632542.611816406250000,739.000000000000000
315,315,5,222802.968872070312500,632542.611816406250000,741.000000000000000
316,316,6,222815.388061523437500,632542.611816406250000,743.000000000000000
317,317,7,222827.807250976562500,632542.611816406250000,744.000000000000000
318,318,8,222840.226440429687500,632542.611816406250000,746.000000000000000
319,319,10,222852.645629882812500,632542.611816406250000,747.000000000000000
320,320,13,222865.064941406250000,632542.611816406250000,748.000000000000000
321,321,15,222877.484130859375000,632542.611816406250000,749.000000000000000
322,322,18,222889.903320312500000,632542.611816406250000,750.000000000000000
323,323,19,222902.322509765625000,632542.611816406250000,752.000000000000000
324,324,19,222914.741699218750000,632542.611816406250000,754.000000000000000
325,325,19,222927.161010742187500,632542.611816406250000,755.000000000000000
326,326,21,222939.580200195312500,632542.611816406250000,756.000000000000000
327,327,19,222951.999511718750000,632542.611816406250000,758.000000000000000
